Ticket_ID,Priority_Level,Assigned_Severity,LLM_Severity,Resolution_Severity,Cluster_Severity,Fused_Severity,Inferred_Severity,Mismatch_Label
TKT-100000,High,2,0.52,0.7,0.8,0.63,3,0
TKT-100001,High,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100002,High,2,0.73,0.25,0.6499999999999999,0.57,3,0
TKT-100003,Low,2,0.73,0.7,0.6499999999999999,0.705,3,0
TKT-100004,Medium,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100005,Medium,2,0.2,0.5,0.5,0.35,2,0
TKT-100006,Medium,2,0.52,0.95,0.35000000000000003,0.615,3,0
TKT-100007,Medium,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100008,High,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100009,Low,2,0.54,0.95,0.6499999999999999,0.6849999999999999,3,0
TKT-100010,Low,2,0.52,0.85,0.6499999999999999,0.645,3,0
TKT-100011,Low,2,0.73,0.85,0.6499999999999999,0.75,4,1
TKT-100012,Critical,2,0.73,0.25,0.8,0.6000000000000001,3,0
TKT-100013,Medium,2,0.92,0.5,0.6499999999999999,0.74,3,0
TKT-100014,Low,2,0.73,0.25,0.35000000000000003,0.51,2,0
TKT-100015,Low,2,0.54,0.7,0.5,0.58,3,0
TKT-100016,Low,2,0.54,0.25,0.2,0.385,2,0
TKT-100017,Low,2,0.52,0.25,0.5,0.43500000000000005,2,0
TKT-100018,Low,2,0.2,0.5,0.35000000000000003,0.32,2,0
TKT-100019,Medium,2,0.2,0.5,0.2,0.29000000000000004,1,0
TKT-100020,Medium,2,0.2,0.5,0.8,0.41000000000000003,2,0
TKT-100021,Medium,2,0.2,0.25,0.8,0.335,2,0
TKT-100022,Low,2,0.2,0.95,0.8,0.545,2,0
TKT-100023,Low,2,0.73,0.5,0.35000000000000003,0.585,3,0
TKT-100024,Low,2,0.52,0.7,0.5,0.57,3,0
TKT-100025,Medium,2,0.54,0.95,0.8,0.715,3,0
TKT-100026,Medium,2,0.2,0.7,0.8,0.47000000000000003,2,0
TKT-100027,Low,2,0.73,0.7,0.35000000000000003,0.645,3,0
TKT-100028,Medium,2,0.54,0.5,0.5,0.52,2,0
TKT-100029,Low,2,0.2,0.95,0.6499999999999999,0.515,2,0
TKT-100030,Medium,2,0.52,0.25,0.5,0.43500000000000005,2,0
TKT-100031,Low,2,0.52,0.7,0.8,0.63,3,0
TKT-100032,Medium,2,0.73,0.7,0.2,0.615,3,0
TKT-100033,Low,2,0.52,0.5,0.8,0.5700000000000001,3,0
TKT-100034,Low,2,0.73,0.95,0.5,0.7499999999999999,3,0
TKT-100035,Medium,2,0.52,0.5,0.2,0.45000000000000007,2,0
